,Job,Daily,Weekly,Monthly,Other,Single,Overall
<120,36.3376251788,31.8638256184,38.0993897123,42.8331466965,29.408277007,23.7901736239,31.667140017
<240,29.6740994854,30.4820149674,34.7960764068,40.1146131805,28.7393162393,0,31.3052725848
<360,26.7482517483,29.2285738269,33.6663336663,38.6783284742,25.6038647343,0,29.9322133805
<480,26.334519573,28.2352941176,31.7751105496,33.4042553191,22.1907459868,0,28.427964465
<600,32.8894806924,28.3567403167,34.5858895706,31.4795383001,20.2295552367,0,28.9505509272
<720,31.914893617,26.4740917213,30.3156146179,31.5789473684,25.5813953488,0,27.2851815207
<840,32.7077747989,27.2751439965,32.2935779817,29.4207317073,17.3333333333,0,27.5949184351
<960,35.8208955224,25.361992985,28.7459283388,27.7691107644,14.6341463415,0,25.8273800846
<1080,41.5384615385,24.942164339,24.1951219512,27.4873524452,16.0784313725,0,25.2217174995
<1200,31.2676056338,23.7251551399,26.0355029586,32.65625,14.7959183673,0,24.3785632839
<1320,27.1653543307,21.8336926971,21.4382632293,23.0612244898,19.0751445087,0,21.9300381463
<1440,27.9620853081,19.7801128624,28.3093053735,26.6666666667,20.4379562044,0,20.692006136
<1560,26.7441860465,18.7983824379,24.3460764588,22.0744680851,14.8648648649,0,19.2831031682
<1680,23.7037037037,16.4308284105,22.5108225108,22.3404255319,14.7727272727,0,17.1342925659
<1800,20.325203252,13.2487775061,20.6467661692,14.6892655367,8.33333333333,0,13.7912601898
<1920,14.7826086957,10.3194619588,18.4668989547,11.2820512821,2.94117647059,0,10.836889961
<2040,15.1515151515,6.74196964349,10.9589041096,14.7058823529,28.5714285714,0,7.38727214583
Average,30.7139356314,24.4239603482,30.6919016062,32.3178807947,26.3894967177,23.7901736239,25.6511116986
