,Job,Daily,Weekly,Monthly,Other,Single,Overall
<120,699,12249,2294,1786,8433,2707,28168
<240,583,12427,1937,1047,1872,0,17866
<360,572,11913,2002,1029,1449,0,16965
<480,562,11390,1583,940,1059,0,15534
<600,751,11179,1304,953,697,0,14884
<720,423,10074,1204,836,602,0,13139
<840,373,11285,1090,656,450,0,13854
<960,402,11119,1228,641,328,0,13718
<1080,325,11671,1025,593,255,0,13869
<1200,355,11119,845,640,196,0,13155
<1320,254,10667,737,490,173,0,12321
<1440,211,10278,763,345,137,0,11734
<1560,172,8655,497,376,148,0,9848
<1680,135,7279,462,376,88,0,8340
<1800,123,6544,402,354,60,0,7483
<1920,115,4758,287,195,34,0,5389
<2040,66,2833,146,68,14,0,3127
Average,6121,165440,17806,11325,15995,2707,219394
