,Job,Daily,Weekly,Monthly,Other,Single,Overall
<120,41.8502202643,28.6402772513,36.2670713202,43.0385487528,28.6788308836,24.8089519651,29.9737138566
<240,31.7689530686,28.3702091646,35.5014687369,37.72691397,27.0103092784,0,29.5803480041
<360,31.0303030303,26.0897191511,32.6771653543,35.0226244344,26.2379055208,0,27.4377043895
<480,29.7994269341,25.5744320771,30.4422745549,32.4324324324,22.8763666947,0,26.3394417536
<600,27.665317139,25.7391304348,30.9589041096,31.2,21.0242587601,0,26.3662861307
<720,26.8993839836,25.0292819173,30.5741983594,29.4409937888,25.0865051903,0,25.8630328442
<840,21.6617210682,26.1350762527,29.3220338983,30.0160513644,17.4528301887,0,26.2055701973
<960,19.2468619247,23.4358974359,30.4865938431,27.7027027027,17.2661870504,0,24.0182032698
<1080,36.0946745562,24.1505087349,25.8064516129,26.5107212476,17.8403755869,0,24.4162059576
<1200,20.253164557,22.7439227439,27.7607361963,28.0163599182,15.9509202454,0,23.1592016044
<1320,29.375,19.9377334994,23.2142857143,23.4482758621,18.7050359712,0,20.4418704419
<1440,25.625,18.9685571555,28.1867145422,24.5674740484,20.202020202,0,19.9721906207
<1560,25.3164556962,17.9748822606,21.3698630137,20.0729927007,14.9122807018,0,18.3198380567
<1680,21.7821782178,15.388458656,23.8244514107,20.9205020921,21.5384615385,0,16.4586418447
<1800,20.4918032787,11.4749430524,18.4027777778,14.0625,7.89473684211,0,12.3073217726
<1920,9.87654320988,9.06713164778,19.5402298851,12.6315789474,4.16666666667,0,9.85757121439
<2040,2.5641025641,8.34141610087,10.6060606061,8.33333333333,44.4444444444,0,8.55207451312
Average,30.1005972964,24.194118413,30.9634700634,32.5564588979,26.648420005,24.8089519651,25.5666265689
