,<2 years experience,>=2 years experience,Overall
0,33.1086142322,24.2333785617,29.4847645429
1,33.3405781352,24.7995064775,29.8100216754
2,34.3732590529,24.0685984624,31.0736602916
3,30.4568527919,20.8213256484,26.2258778867
4,27.6091783864,24.706744868,26.1510128913
5,30.9145129225,17.4917491749,24.5430809399
6,27.4316939891,18.4523809524,23.1339031339
7,25.7782101167,14.9253731343,19.0529041805
8,24.8876909254,15.3644123441,19.3854324734
9,26.7179925863,17.1675675676,21.2862764388
10,27.7376778717,19.1141068849,22.8880866426
11,29.2366946779,19.8149156233,23.9356814701
12,28.1457620294,20.2350068671,23.6458333333
13,30.3457292272,22.7093725387,26.3342987174
14,28.8210189384,21.2722149978,24.6562238431
15,30.3147303147,21.0771276596,25.570542371
16,30.74055027,20.9915492958,25.5449468564
17,30.6428571429,22.1759066278,26.3506374586
18,28.7973366625,22.1756525052,25.340626554
19,28.3796296296,22.9853285137,25.567992907
20,29.2125134844,22.8638497653,26.1720067454
21,31.3656040929,23.708086785,27.5413711584
22,30.0596852957,23.3633387889,26.9175386388
23,30.3883071553,23.7226277372,27.129794826
Average,29.917788855,21.385939006,25.5442591594
