,Job,Daily,Weekly,Monthly,Other,Single,Overall
0,20.0,28.4896852884,37.7922077922,32.6848249027,29.098805646,23.0769230769,29.4540229885
1,20.0,27.1984366673,40.8111533587,39.7923875433,30.5865921788,26.9230769231,29.7948260482
2,66.6666666667,28.9274924471,37.7308707124,44.0506329114,30.8855291577,35.2272727273,30.9811320755
3,16.6666666667,26.0369609856,25.8883248731,32.5842696629,24.2320819113,23.7288135593,26.1679292929
4,0.0,25.3073770492,30.2904564315,28.6516853933,26.9736842105,23.8095238095,26.1221486387
5,20.0,23.6008091706,24.0384615385,29.8076923077,29.4117647059,24.3243243243,24.53125
6,41.1764705882,21.164021164,22.5806451613,34.0909090909,32.2033898305,17.1428571429,23.1292517007
7,11.6883116883,17.7058543551,25.4237288136,23.3333333333,28.0542986425,18.3673469388,19.0791896869
8,18.932038835,17.8002125399,25.1351351351,24.5283018868,24.032586558,27.1428571429,19.3645422072
9,24.1153342071,19.457567804,28.7581699346,26.1904761905,22.3880597015,25.8741258741,21.2040296152
10,31.4838709677,20.7720113607,26.8943436499,26.9736842105,25.6572029443,24.064171123,22.8311317387
11,34.7758887172,21.7112741552,31.0875842156,31.25,26.5625,20.197044335,23.8507055075
12,26.1574074074,22.2300718239,27.7319587629,27.7661795407,26.8379096546,25.1366120219,23.5495464659
13,27.0710059172,25.1347708895,32.0678513732,30.3355704698,26.9172932331,22.9508196721,26.2020381643
14,30.2158273381,23.13748239,30.179028133,30.3234501348,25.4346426272,23.5772357724,24.616114306
15,31.3648293963,24.0296485216,29.9627791563,32.3891625616,26.7246376812,28.8079470199,25.6081081081
16,40.9015025042,24.092462966,28.9764868603,31.2426035503,25.2454417952,23.166023166,25.5500859973
17,27.2727272727,25.2613240418,29.0909090909,33.0472103004,29.6442687747,26.9406392694,26.3577827548
18,34.4262295082,23.390052356,36.0335195531,38.4754990926,23.9465570401,25.5172413793,25.2627404323
19,40.0,24.4179361886,27.6995305164,32.9140461216,29.203539823,20.8633093525,25.5307386112
20,34.2105263158,25.3277017186,28.8288288288,34.7290640394,26.0978670013,26.8115942029,26.1816962789
21,45.5555555556,26.1560320331,35.3300733496,31.6239316239,26.7901234568,25.8426966292,27.4185659787
22,35.5555555556,26.0969976905,28.9054197662,37.109375,24.9,25.5707762557,26.8004947198
23,42.8571428571,26.4382583869,34.0866290019,32.5581395349,25.42997543,23.9520958084,27.1113084008
Average,30.0376057662,24.1224790045,30.8786610879,32.4472384374,26.648420005,24.8089519651,25.4935209215
