,Job,Daily,Weekly,Monthly,Other,Single,Overall
<120,1135,18467,2636,2205,11838,3664,39945
<240,831,16542,2383,1267,2425,0,23448
<360,825,15738,2286,1105,1757,0,21711
<480,698,15363,1741,1036,1189,0,20027
<600,741,12650,1460,875,742,0,16468
<720,487,11099,1341,805,578,0,14310
<840,337,11475,1180,623,424,0,14039
<960,239,9750,1007,592,278,0,11866
<1080,169,10418,806,513,213,0,12119
<1200,158,9009,652,489,163,0,10471
<1320,160,8030,560,435,139,0,9324
<1440,160,6806,557,289,99,0,7911
<1560,79,5096,365,274,114,0,5928
<1680,101,4003,319,239,65,0,4727
<1800,122,3512,288,192,38,0,4152
<1920,81,2294,174,95,24,0,2668
<2040,39,1031,66,36,9,0,1181
Average,6362,161283,17821,11070,20095,3664,220295
