,Job,Daily,Weekly,Monthly,Other,Single,Overall
0,20,6641,770,514,921,182,9048
1,5,5629,789,578,716,130,7847
2,3,3972,379,395,463,88,5300
3,6,2435,197,178,293,59,3168
4,1,1952,241,178,304,42,2718
5,5,1483,104,104,187,37,1920
6,17,1323,124,88,177,35,1764
7,77,2101,177,90,221,49,2715
8,412,3764,370,212,491,70,5319
9,763,5715,612,336,670,143,8239
10,775,7746,937,608,951,187,11204
11,647,9677,1039,528,1088,203,13182
12,432,8493,970,479,1129,183,11686
13,676,10388,1238,745,1330,244,14621
14,695,12067,1564,742,1553,246,16867
15,762,12547,1612,812,1725,302,17760
16,599,12286,1446,845,1426,259,16861
17,154,10906,1045,699,1265,219,14288
18,61,7640,716,551,973,145,10086
19,40,6958,639,477,791,139,9044
20,76,6866,666,406,797,138,8949
21,90,7742,818,585,810,178,10223
22,45,7794,941,512,1000,219,10511
23,21,7005,531,473,814,167,9011
Average,6382,163130,17925,11135,20095,3664,222331
