,Job,Daily,Weekly,Monthly,Other,Single,Overall
0,6,1709,210,147,300,66,2438
1,0,1371,246,143,216,44,2020
2,3,943,105,110,153,43,1357
3,3,621,81,57,110,20,892
4,0,478,66,62,89,15,710
5,2,371,22,38,53,11,497
6,3,290,30,24,43,18,408
7,13,434,47,18,67,15,594
8,85,841,83,76,153,31,1269
9,216,1314,169,99,231,47,2076
10,198,1815,260,141,302,61,2777
11,177,2305,252,159,330,77,3300
12,121,2082,264,145,372,65,3049
13,168,2617,369,219,428,100,3901
14,154,3044,385,217,496,78,4374
15,218,3078,464,234,541,113,4648
16,138,2946,434,229,430,91,4268
17,39,2630,292,188,407,79,3635
18,19,1704,208,141,272,49,2393
19,15,1618,159,130,266,47,2235
20,25,1696,171,113,257,48,2310
21,28,1965,242,185,268,75,2763
22,15,1971,237,137,322,80,2762
23,3,1775,150,118,238,68,2352
Average,1649,39618,4946,3130,6344,1341,57028
