,Job,Daily,Weekly,Monthly,Other,Single,Overall
0,11.35,44.4222465582,41.1326397919,38.3469785575,35.0252192982,29.6593406593,42.4235320892
1,37.6,34.4641600296,45.6932826362,50.8062283737,39.5496503497,23.0692307692,37.1527048319
2,78.6666666667,38.5228519196,32.9208443272,38.5012658228,39.2613390929,38.7840909091,38.2036067481
3,13.3333333333,39.191507431,25.9746192893,27.5393258427,22.9212328767,9.20338983051,35.5137674117
4,5.0,32.730994152,50.1991701245,49.3146067416,37.5197368421,12.2142857143,35.65054779
5,19.4,41.9491997216,32.6442307692,35.5961538462,40.192513369,29.6216216216,40.6013874066
6,209.941176471,38.2734375,21.314516129,84.4772727273,45.7344632768,12.2,41.3468913422
7,35.9210526316,40.9340788699,31.76,39.0674157303,53.0547945205,6.9375,40.4440589766
8,39.2512820513,34.8080341273,51.8945945946,32.8490566038,24.2213114754,30.4142857143,35.3067004375
9,44.1902834008,34.1908893709,40.1895424837,49.619760479,34.9036144578,18.1418439716,36.2247254295
10,70.1451398136,35.9668181818,72.5117521368,40.2944078947,37.7690677966,24.7647058824,42.1618791143
11,47.4754358162,37.9556976744,61.021174206,56.0738636364,31.2506912442,15.525,40.2545725399
12,39.1076555024,44.7718791064,52.4391752577,35.2594142259,36.5959147425,26.7637362637,43.6627410979
13,51.7228177642,38.8613569322,53.8518218623,41.7248322148,48.2902494331,23.381147541,41.6178790535
14,41.33632287,36.0758924557,65.8254475703,43.9730094467,31.8750809061,25.0285714286,39.0159269751
15,47.622100955,38.0805944056,44.4993796526,48.171182266,37.2005830904,26.9136212625,39.324444712
16,66.2930153322,52.7568187837,54.6113416321,42.0958579882,30.3623595506,21.6899224806,50.3472213481
17,61.4026845638,45.7150755257,36.3311004785,44.0615164521,46.8523809524,19.6347031963,44.7593511592
18,36.2833333333,38.3913847029,43.4622905028,49.8239564428,36.1017471737,24.9097222222,38.9858619962
19,32.5897435897,37.6422688423,65.0579937304,58.3899371069,43.9987325729,19.6402877698,41.1298579312
20,39.8243243243,46.2348228043,67.8603603604,74.5295566502,41.8322824716,18.0072463768,48.3393253181
21,83.1685393258,42.8501228501,49.1750305998,39.2905982906,43.7021013597,28.011299435,43.3332653269
22,77.6,34.4257452212,40.6684378321,60.0782778865,45.5536609829,26.5412844037,37.3985087805
23,31.15,35.5553743514,79.2900188324,37.1247357294,32.4133663366,17.6167664671,37.6531335773
Average,51.193626658,40.1286322871,51.987050681,46.0998382459,37.9109034579,23.0999726102,41.2837929909
