1301 of 57028

44a29fd715a017183e83377b297ab3f792995467 - C
7d156a25bd3e8e6ff74faf02faecb5fc5fb4839e - C
8660c1240ec6016522b882c88751cb4ce40bf0e8 - C
6146b9af84cc771198195104b432eb13b96a9799 - C
65eb3dc609dec17deea48dcd4de2e549d29a9824 - C
30b5309ae54723785bd0572be9316afd5dc203a7 - C (typo)
73fd8b6d310196ae878767200786503fcff57bd5 - C
8820f27ad9a5ad2a62cdcdf425d7921c31831800 - C
59a3cd7f9da60ac4ba8ae5a4cddc48fe4a450129 - C
d44e0780bcc47c9b8851099c0dfc1dda3c9db5a9 - C
5dbaec5dc6a4895db8bf9765a867418481ed7311 - C (add -> delete)
1779381dea3bada407396742c56bee31ffa8544e - C
b02a7f22f39f02fdf5a1380ff700293639db4490 - C
80b8585b07feede94a742c4cdb80ab607a8813b3 - NC (asm file)
f6ec2d96796d0accda6c325890206f3629130729 - C
7db11a363fc41cec170a94a3542031e5e64bb333 - NC ()
26c131c71e31973e273adde4027e6a80bde164dc - NC
31729363418ea25b01aa9410838c38e36792e44c - C
99acf0442111cc452ac1b93868dde8f6ff37a989 - C
761a7e3544b8192c662d8b67913a353f6a014c08 - C
1061787967db03975dc02030d6815811f4eb9231 - C
14e4a0f2bb242f8008bc70b55fa834292c6a62af - C
c1f395f1c76b115c9691e1546942651fedb08c37 - C
8c4606b1a4f6eb09344294b7f11641f36cd402af - C
79685b8deea4541d18882d8c07d0e99e788292ab - C
d7a029a89ef370e74b63f18b81498d90d1ee3cc1 - C
33e34dc6ee2cb2cf2d50e65c5b825d9ebb8b9e66 - C
348ca1029e8bae6e0c49097ad25439b17c5326f4 - C
92a0f861fe1790dad55ea249169d94f2dc88d696 - C
3dbda77e6f3375f87090cfce97b2551d3723521b - C
dded364bf4e1f0de67d7d7b9e77c06b23a9f081f - C
a0f55e0e833009c6a4eeb2626b807e3c21b128c8 - C
f1267347353b586e1a89a7d02c142be975bae699 - C
7bfe24611671ec76b44281e582b38535e21f01a9 - C
9cd330d36b32ed48d49561b165842db20bd153cc - C
65b6e42cdc5b6a1ce2ada31cc294d7e60b22bb43 - C
93e960ff2d94a68403f87bbd2e664509bdfefbae - C
bd4207c9016749f0a212faf7f7f49e5317d96d9b - C
5be0e9511990dc307670dc66a42073db96b20f26 - C
477e608c03eb2f561a23994bee38a32a9fd3357d - C
3909845e26439148a484d1ac30bb65e5e0ff63ec - C
572438f9b52236bd8938b1647cc15e027d27ef55 - C
9b6efcd2e2275e13403700913b7a1da92cf11ad2 - C
a580290c3e64bb695158a090d02d1232d9609311 - C
ab33dcff40d7a9a28587e4425621e4cbc4089e03 - C
3b2a6061afe6fcc44437cd5ec641b0aeb2825ee3 - C
bb3b9cf122eb097ed9fe8ae50e1b0dbba9bbe447 - C
ded1e38d7fcc0a2ad3124b3bf8dd10cc2870c764 - C
fb9f8905a8865679f1fb757380b4169571def0ca - C
9d910c9bcb4c3164d582ec3283fff5000c4f0d75 - C

47/50 are comments

2.14446% of fixes are on comments +/- 0.099447
