,Job,Daily,Weekly,Monthly,Other,Single,Overall
<120,0.00296582772396,0.00263820805472,0.0147349515389,0.0260459117413,0.00606365371753,0.00832332567349,0.00405061112025
<240,0.00127282383752,0.00199731994578,0.0201103040086,0.0173048877663,0.00485862472812,0,0.00245986121498
<360,0.00243211112691,0.00210364269942,0.0116438115947,0.0210258191502,0.0170666490608,0,0.0027686474373
<480,0.00138572650189,0.00193335051769,0.0154112163584,0.0186755873986,0.0133040799178,0,0.00232515514023
<600,0.0217384514477,0.00175917255119,0.0181043023989,0.0134059488898,0.0100123828056,0,0.00235101500283
<720,0.00973343656675,0.00135525785959,0.0165467625899,0.0137821161238,0.0168369474562,0,0.0017624588866
<840,0.00969169183229,0.00203480138806,0.00997766195086,0.0286099112907,0.0151555203102,0,0.0024696703521
<960,0.00882018209408,0.00172448492516,0.0139329200573,0.0147906339419,0.0115700985266,0,0.00215317273162
<1080,0.00923901544538,0.00136149830649,0.0124213836478,0.0119248272375,0.00788781770377,0,0.00158031082613
<1200,0.0166396450209,0.000440323658792,0.0155295991505,0.0123099203476,0.00430364614465,0,0.000545579416997
<1320,0.0130404941661,0.000289489407454,0.000853419444124,0.00857166070848,0.00876533934385,0,0.000334137320459
<1440,0.0155014236001,0.000273200686952,0.00861541152803,0.00994365263507,0.013519603425,0,0.000346191761923
<1560,0.0110518292683,0.0001836871017,0.00913053280228,0.00506439914968,0.00888373889533,0,0.00022413167973
<1680,0.00840163934426,0.000216642240916,0.00866970669369,0.012131147541,0.00873860182371,0,0.000281716821166
<1800,0.0102397602398,9.39705704065e-05,0.00658962849776,0.00612182430364,0.0103359173127,0,0.000119938308655
<1920,0.00537056928034,8.55992617064e-05,0.00885622762389,0.00214263850627,0.00261096605744,0,0.000106552978585
<2040,0.000566251415629,5.9609892132e-05,0.00375939849624,0.00186046511628,0.00792393026941,0,6.81952388357e-05
Average,0.00273951593314,0.00094721179153,0.0108014846374,0.0173909687379,0.00665313667447,0.00832332567349,0.00133393156424
