,Job,Daily,Weekly,Monthly,Other,Single,Overall
<120,0,28.018486424,100.0,0,36.8421052632,0.0,28.1392694064
<240,0,30.471771075,0,0,0.0,0,30.3543913713
<360,0,30.3959131545,0,0,0.0,0,30.3184713376
<480,0,28.4697508897,0,0,0.0,0,28.3939662822
<600,0,30.2133516862,0,0,0.0,0,30.1925722146
<720,0,31.5045719036,0,0,0,0,31.5045719036
<840,0,30.604288499,0,0,0,0,30.604288499
<960,0,35.8644859813,0,0,0,0,35.8644859813
<1080,0,31.0701956272,0,0,0,0,31.0701956272
<1200,0,27.2058823529,0.0,0,0,0,27.1488469602
<1320,0,26.7586206897,0,0,0,0,26.7586206897
<1440,0,22.8179551122,0.0,0,0,0,22.7047146402
<1560,0,29.8465829847,0.0,0,0,0,29.7222222222
<1680,0,27.6995305164,0,0,0,0,27.6995305164
<1800,0,22.5077081192,0.0,0,0,0,22.4845995893
<1920,0,14.5922746781,0,0,0,0,14.5922746781
<2040,0,21.0749646393,0.0,0,0,0,20.9563994374
<2160,0,29.5865633075,0.0,0,0,0,29.283887468
<2280,0,23.9790575916,0.0,0,0,0,23.9289446186
<2400,0,26.243567753,0.0,0,0,0,26.0204081633
<2520,0,27.0942408377,0.0,0,0,0,26.9180754226
<2640,0,21.3783403657,0.0,0,0,0,21.1994421199
<2760,0,25.4545454545,0.0,0,0,0,25.4125412541
<2880,0,24.8348745046,0.0,0,0,0,24.6073298429
<3000,0,16.8032786885,0,0,0,0,16.8032786885
<3120,0,20.3539823009,0,0,0,0,20.3539823009
<3240,0,21.399730821,0.0,0,0,0,21.3136729223
<3360,0,14.8730350665,0.0,0,0,0,14.8550724638
<3480,0,17.7419354839,0,0,0,0,17.7419354839
<3600,0,15.5462184874,0,0,0,0,15.5462184874
<3720,0,15.2801358234,0,0,0,0,15.2801358234
<3840,0,11.5131578947,0,0,0,0,11.5131578947
<3960,0,8.07600950119,0,0,0,0,8.07600950119
<4080,0,8.84086444008,0,0,0,0,8.84086444008
<4200,0,6.75675675676,0,0,0,0,6.75675675676
<4320,0,8.43023255814,0,0,0,0,8.43023255814
<4440,0,7.08661417323,0,0,0,0,7.08661417323
<4560,0,7.64705882353,0,0,0,0,7.64705882353
<4680,0,3.09278350515,0,0,0,0,3.09278350515
<4800,0,5.55555555556,0,0,0,0,5.55555555556
<4920,0,8.08823529412,0,0,0,0,8.08823529412
<5040,0,3.28947368421,0,0,0,0,3.28947368421
<5160,0,10.0,0,0,0,0,10.0
<5280,0,19.7368421053,0,0,0,0,19.7368421053
<5400,0,0,0,0,0,0,0
Average,0,23.8302537809,1.88679245283,0,21.875,0.0,23.7900762131
