,Job,Daily,Weekly,Monthly,Other,Single,Overall
0,0,24.4791666667,0.0,0,66.6666666667,0,24.5239469129
1,0,28.0542986425,0.0,0,0,0,28.0225988701
2,0,29.5843520782,0.0,0,0.0,0,29.0865384615
3,0,29.1187739464,0.0,0,0,0,28.679245283
4,0,31.1377245509,0.0,0,0,0,30.0578034682
5,0,19.8529411765,0.0,0,0,0,19.4244604317
6,0,23.4741784038,0,0,0.0,0,23.2558139535
7,0,22.4783861671,0,0,0,0,22.4783861671
8,0,20.6627680312,0.0,0,0,0,20.6225680934
9,0,17.0795306389,0,0,0,0,17.0795306389
10,0,19.9303742385,0,0,33.3333333333,0,19.9652777778
11,0,20.5766710354,0,0,100.0,0,20.6286836935
12,0,20.3883495146,0,0,0,0,20.3883495146
13,0,23.2069672131,0.0,0,0,0.0,23.1358529111
14,0,25.0132485427,0.0,0,0,0,25.0
15,0,24.0957966764,0.0,0,0,0,24.084025403
16,0,27.691537306,0,0,66.6666666667,0,27.75
17,0,22.1955896453,0.0,0,100.0,0,22.2009569378
18,0,26.787620064,0,0,0.0,0,26.7163384779
19,0,27.3446327684,50.0,0,0,0,27.3702031603
20,0,26.7482517483,0.0,0,0.0,0,26.6550522648
21,0,23.323782235,0.0,0,0.0,0,23.2571428571
22,0,21.45,0.0,0,0.0,0,21.3008937438
23,0,22.2782258065,0.0,0,0.0,0,22.2110552764
Average,0,23.8302537809,1.88679245283,0,21.875,0.0,23.7900762131
