,Job,Daily,Weekly,Monthly,Other,Single,Overall
<120,0,1731,1,0,19,1,1752
<240,0,1293,0,0,5,0,1298
<360,0,1566,0,0,4,0,1570
<480,0,1124,0,0,3,0,1127
<600,0,1453,0,0,1,0,1454
<720,0,1203,0,0,0,0,1203
<840,0,1026,0,0,0,0,1026
<960,0,856,0,0,0,0,856
<1080,0,869,0,0,0,0,869
<1200,0,952,2,0,0,0,954
<1320,0,725,0,0,0,0,725
<1440,0,802,4,0,0,0,806
<1560,0,717,3,0,0,0,720
<1680,0,852,0,0,0,0,852
<1800,0,973,1,0,0,0,974
<1920,0,932,0,0,0,0,932
<2040,0,707,4,0,0,0,711
<2160,0,774,8,0,0,0,782
<2280,0,955,2,0,0,0,957
<2400,0,583,5,0,0,0,588
<2520,0,764,5,0,0,0,769
<2640,0,711,6,0,0,0,717
<2760,0,605,1,0,0,0,606
<2880,0,757,7,0,0,0,764
<3000,0,732,0,0,0,0,732
<3120,0,565,0,0,0,0,565
<3240,0,743,3,0,0,0,746
<3360,0,827,1,0,0,0,828
<3480,0,558,0,0,0,0,558
<3600,0,714,0,0,0,0,714
<3720,0,589,0,0,0,0,589
<3840,0,608,0,0,0,0,608
<3960,0,421,0,0,0,0,421
<4080,0,509,0,0,0,0,509
<4200,0,518,0,0,0,0,518
<4320,0,344,0,0,0,0,344
<4440,0,254,0,0,0,0,254
<4560,0,170,0,0,0,0,170
<4680,0,97,0,0,0,0,97
<4800,0,18,0,0,0,0,18
<4920,0,136,0,0,0,0,136
<5040,0,152,0,0,0,0,152
<5160,0,50,0,0,0,0,50
<5280,0,76,0,0,0,0,76
<5400,0,0,0,0,0,0,0
Average,0,31011,53,0,32,1,31097
