,Job,Daily,Weekly,Monthly,Other,Single,Overall
0,0,1728,2,0,3,0,1733
1,0,884,1,0,0,0,885
2,0,409,6,0,1,0,416
3,0,261,4,0,0,0,265
4,0,167,6,0,0,0,173
5,0,136,3,0,0,0,139
6,0,213,0,0,2,0,215
7,0,347,0,0,0,0,347
8,0,513,1,0,0,0,514
9,0,767,0,0,0,0,767
10,0,1149,0,0,3,0,1152
11,0,1526,0,0,1,0,1527
12,0,1854,0,0,0,0,1854
13,0,1952,5,0,0,1,1958
14,0,1887,1,0,0,0,1888
15,0,2046,1,0,0,0,2047
16,0,1997,0,0,3,0,2000
17,0,2086,3,0,1,0,2090
18,0,1874,0,0,5,0,1879
19,0,1770,2,0,0,0,1772
20,0,1716,5,0,1,0,1722
21,0,1745,1,0,4,0,1750
22,0,2000,8,0,6,0,2014
23,0,1984,4,0,2,0,1990
Average,0,31011,53,0,32,1,31097
