,Job,Daily,Weekly,Monthly,Other,Single,Overall
0,0,194,0,0,0,0,194
1,0,109,0,0,0,0,109
2,0,64,0,0,0,0,64
3,0,39,0,0,0,0,39
4,0,20,0,0,0,0,20
5,0,19,0,0,0,0,19
6,0,21,0,0,1,0,22
7,0,29,0,0,0,0,29
8,0,45,0,0,0,0,45
9,0,99,0,0,0,0,99
10,0,164,0,0,1,0,165
11,0,235,0,0,0,0,235
12,0,279,0,0,0,0,279
13,0,309,0,0,0,0,309
14,0,312,0,0,0,0,312
15,0,300,0,0,0,0,300
16,0,314,0,0,1,0,315
17,0,322,0,0,0,0,322
18,0,314,0,0,0,0,314
19,0,249,0,0,0,0,249
20,0,219,0,0,0,0,219
21,0,268,0,0,0,0,268
22,0,235,0,0,0,0,235
23,0,237,0,0,0,0,237
Average,0,4396,0,0,3,0,4399
