,Job,Daily,Weekly,Monthly,Other,Single,Overall
<120,0,1.10687463894,9.0,0,1.21052631579,0.0,1.11187214612
<240,0,0.949729311678,0,0,0.0,0,0.946070878274
<360,0,1.37420178799,0,0,0.0,0,1.37070063694
<480,0,1.09964412811,0,0,0.0,0,1.09671694765
<600,0,1.15691672402,0,0,0.0,0,1.15612104539
<720,0,1.6608478803,0,0,0,0,1.6608478803
<840,0,1.28362573099,0,0,0,0,1.28362573099
<960,0,1.29088785047,0,0,0,0,1.29088785047
<1080,0,1.41542002301,0,0,0,0,1.41542002301
<1200,0,1.00945378151,0.0,0,0,0,1.00733752621
<1320,0,1.59724137931,0,0,0,0,1.59724137931
<1440,0,1.05860349127,0.0,0,0,0,1.05334987593
<1560,0,1.2189679219,0.0,0,0,0,1.21388888889
<1680,0,1.19131455399,0,0,0,0,1.19131455399
<1800,0,0.965056526208,0.0,0,0,0,0.964065708419
<1920,0,0.55686695279,0,0,0,0,0.55686695279
<2040,0,0.659123055163,0.0,0,0,0,0.655414908579
<2160,0,1.11111111111,0.0,0,0,0,1.09974424552
<2280,0,0.586387434555,0.0,0,0,0,0.585161964472
<2400,0,0.771869639794,0.0,0,0,0,0.765306122449
<2520,0,0.926701570681,0.0,0,0,0,0.920676202861
<2640,0,0.526019690577,0.0,0,0,0,0.521617852162
<2760,0,0.780165289256,0.0,0,0,0,0.778877887789
<2880,0,0.602377807133,0.0,0,0,0,0.596858638743
<3000,0,0.424863387978,0,0,0,0,0.424863387978
<3120,0,0.589380530973,0,0,0,0,0.589380530973
<3240,0,0.487213997308,0.0,0,0,0,0.485254691689
<3360,0,0.575574365175,0.0,0,0,0,0.574879227053
<3480,0,0.349462365591,0,0,0,0,0.349462365591
<3600,0,0.303921568627,0,0,0,0,0.303921568627
<3720,0,0.444821731749,0,0,0,0,0.444821731749
<3840,0,0.233552631579,0,0,0,0,0.233552631579
<3960,0,0.118764845606,0,0,0,0,0.118764845606
<4080,0,0.184675834971,0,0,0,0,0.184675834971
<4200,0,0.0984555984556,0,0,0,0,0.0984555984556
<4320,0,0.125,0,0,0,0,0.125
<4440,0,0.0905511811024,0,0,0,0,0.0905511811024
<4560,0,0.123529411765,0,0,0,0,0.123529411765
<4680,0,0.329896907216,0,0,0,0,0.329896907216
<4800,0,0.0555555555556,0,0,0,0,0.0555555555556
<4920,0,0.183823529412,0,0,0,0,0.183823529412
<5040,0,0.111842105263,0,0,0,0,0.111842105263
<5160,0,0.14,0,0,0,0,0.14
<5280,0,0.315789473684,0,0,0,0,0.315789473684
<5400,0,0,0,0,0,0,0
Average,0,0.877430589146,0.169811320755,0,0.71875,0.0,0.876033057851
