,Job,Daily,Weekly,Monthly,Other,Single,Overall
0,0,1.00173611111,0.0,0,0.666666666667,0,1.0
1,0,1.96945701357,0.0,0,0,0,1.96723163842
2,0,1.06601466993,0.0,0,0.0,0,1.04807692308
3,0,1.55555555556,0.0,0,0,0,1.5320754717
4,0,1.41317365269,0.0,0,0,0,1.36416184971
5,0,0.544117647059,0.0,0,0,0,0.532374100719
6,0,0.816901408451,0,0,0.0,0,0.809302325581
7,0,0.71469740634,0,0,0,0,0.71469740634
8,0,0.783625730994,0.0,0,0,0,0.782101167315
9,0,0.501955671447,0,0,0,0,0.501955671447
10,0,0.644908616188,0,0,1.33333333333,0,0.646701388889
11,0,0.569462647444,0,0,1.0,0,0.56974459725
12,0,0.671521035599,0,0,0,0,0.671521035599
13,0,0.740266393443,0.0,0,0,0.0,0.737997957099
14,0,0.81981981982,0.0,0,0,0,0.81938559322
15,0,0.791300097752,0.0,0,0,0,0.790913531998
16,0,1.00650976465,0,0,5.0,0,1.0125
17,0,0.800095877277,0.0,0,1.0,0,0.799043062201
18,0,0.966382070438,0,0,0.0,0,0.96381053752
19,0,1.00225988701,4.5,0,0,0,1.00620767494
20,0,0.992424242424,0.0,0,0.0,0,0.988966318235
21,0,0.765042979943,0.0,0,0.0,0,0.762857142857
22,0,0.8865,0.0,0,0.0,0,0.880337636544
23,0,0.925403225806,0.0,0,0.0,0,0.922613065327
Average,0,0.877430589146,0.169811320755,0,0.71875,0.0,0.876033057851
