,Job,Daily,Weekly,Monthly,Other,Single,Overall
0,0,72.7847222222,0.0,0,21.6666666667,0,72.6122331218
1,0,325.15158371,0.0,0,0,0,324.784180791
2,0,76.0317848411,0.0,0,40.0,0,74.8485576923
3,0,58.5823754789,0.0,0,0,0,57.6981132075
4,0,65.0958083832,0.0,0,0,0,62.838150289
5,0,30.1691176471,0.0,0,0,0,29.5179856115
6,0,30.5399061033,0,0,0.5,0,30.2604651163
7,0,40.4812680115,0,0,0,0,40.4812680115
8,0,78.8635477583,0.0,0,0,0,78.7101167315
9,0,29.9452411995,0,0,0,0,29.9452411995
10,0,43.9469103568,0,0,2.33333333333,0,43.8385416667
11,0,39.9580602883,0,0,15.0,0,39.9417157826
12,0,48.4217907228,0,0,0,0,48.4217907228
13,0,56.5701844262,0.4,0,0,0.0,56.397854954
14,0,54.781664017,0.0,0,0,0,54.7526483051
15,0,53.8998044966,0.0,0,0,0,53.8734733757
16,0,78.8212318478,0,0,175.0,0,78.9655
17,0,56.6289549377,0.0,0,21.0,0,56.5306220096
18,0,62.3164354322,0,0,0.4,0,62.1516764236
19,0,67.3163841808,164.0,0,0,0,67.4255079007
20,0,85.0093240093,0.0,0,35.0,0,84.7334494774
21,0,53.0309455587,0.0,0,9.5,0,52.9011428571
22,0,76.7435,0.125,0,0.0,0,76.2105263158
23,0,69.5640120968,0.0,0,0.0,0,69.3542713568
Average,0,68.5320692657,6.24528301887,0,23.40625,0.0,68.3772711194
