,Job,Daily,Weekly,Monthly,Other,Single,Overall
<120,0,0.0264823773324,0.0275229357798,0,0.0307076101469,0,0.0265301119494
<240,0,0.022429633418,0,0,0,0,0.022429633418
<360,0,0.00821803767619,0,0,0,0,0.00821803767619
<480,0,0.0202696054315,0,0,0,0,0.0202696054315
<600,0,0.0174749207339,0,0,0,0,0.0174749207339
<720,0,0.0134774162215,0,0,0,0,0.0134774162215
<840,0,0.0156871620173,0,0,0,0,0.0156871620173
<960,0,0.00808144339699,0,0,0,0,0.00808144339699
<1080,0,0.0177784201778,0,0,0,0,0.0177784201778
<1200,0,0.0255986787779,0,0,0,0,0.0255986787779
<1320,0,0.0133109568256,0,0,0,0,0.0133109568256
<1440,0,0.0222356084019,0,0,0,0,0.0222356084019
<1560,0,0.0166832098954,0,0,0,0,0.0166832098954
<1680,0,0.00869505623945,0,0,0,0,0.00869505623945
<1800,0,0.0174243830024,0.0,0,0,0,0.0174237363616
<1920,0,0.00989023553625,0,0,0,0,0.00989023553625
<2040,0,0.0135205709975,0,0,0,0,0.0135205709975
<2160,0,0.0163915678725,0.0,0,0,0,0.0163912554558
<2280,0,0.0132056784417,0,0,0,0,0.0132056784417
<2400,0,0.0134892086331,0,0,0,0,0.0134892086331
<2520,0,0.010333051169,0,0,0,0,0.010333051169
<2640,0,0.0164830321728,0.0,0,0,0,0.01648230576
<2760,0,0.0169272701191,0,0,0,0,0.0169272701191
<2880,0,0.0126033000746,0,0,0,0,0.0126033000746
<3000,0,0.00846350623197,0,0,0,0,0.00846350623197
<3120,0,0.00875716614948,0,0,0,0,0.00875716614948
<3240,0,0.0140987692787,0,0,0,0,0.0140987692787
<3360,0,0.00904375581859,0,0,0,0,0.00904375581859
<3480,0,0.0104083266613,0,0,0,0,0.0104083266613
<3600,0,0.00688167951035,0,0,0,0,0.00688167951035
<3720,0,0.00530729651987,0,0,0,0,0.00530729651987
<3840,0,0.00703701868279,0,0,0,0,0.00703701868279
<3960,0,0.00478743776331,0,0,0,0,0.00478743776331
<4080,0,0.00293191104457,0,0,0,0,0.00293191104457
<4200,0,0.0029011889186,0,0,0,0,0.0029011889186
<4320,0,0.00482387256002,0,0,0,0,0.00482387256002
<4440,0,0.00183266932271,0,0,0,0,0.00183266932271
<4560,0,0.00215871710526,0,0,0,0,0.00215871710526
<4680,0,0.00366888328365,0,0,0,0,0.00366888328365
<4800,0,0.00869565217391,0,0,0,0,0.00869565217391
<4920,0,0.00394632991318,0,0,0,0,0.00394632991318
<5040,0,0.0118964310707,0,0,0,0,0.0118964310707
<5160,0,0.00398633257403,0,0,0,0,0.00398633257403
<5280,0,0.0104849279161,0,0,0,0,0.0104849279161
<5400,0,0,0,0,0,0,0
Average,0,0.0128032116722,0.0271903323263,0,0.0307076101469,0,0.0128117581107
