,Job,Daily,Weekly,Monthly,Other,Single,Overall
0,0,0.0137629997138,0,0,0.0307692307692,0,0.0137717841334
1,0,0.00605704266023,0,0,0,0,0.00605704266023
2,0,0.0140206450783,0,0,0.0,0,0.0140026335228
3,0,0.0265533028123,0,0,0,0,0.0265533028123
4,0,0.0217091343943,0,0,0,0,0.0217091343943
5,0,0.0180355837192,0,0,0,0,0.0180355837192
6,0,0.0267486548809,0,0,0.0,0,0.0267445434983
7,0,0.0176550153058,0,0,0,0,0.0176550153058
8,0,0.00993647576439,0,0,0,0,0.00993647576439
9,0,0.0167624521073,0,0,0,0,0.0167624521073
10,0,0.0146747202693,0,0,0.571428571429,0,0.0147518910142
11,0,0.0142515087903,0,0,0.0666666666667,0,0.0142643996655
12,0,0.0138681578185,0,0,0,0,0.0138681578185
13,0,0.0130858048449,0.0,0,0,0,0.0130855678412
14,0,0.0149652230273,0,0,0,0,0.0149652230273
15,0,0.0146809456016,0,0,0,0,0.0146809456016
16,0,0.0127695259393,0,0,0.0285714285714,0,0.0128220552013
17,0,0.0141287417039,0,0,0.047619047619,0,0.0141346943267
18,0,0.0155076596364,0,0,0.0,0,0.0155073940556
19,0,0.0148887956358,0.0274390243902,0,0,0,0.0149232494685
20,0,0.0116742987195,0,0,0.0,0,0.0116714983791
21,0,0.0144263499714,0,0,0.0,0,0.0144204284001
22,0,0.0115514668995,0.0,0,0,0,0.0115513916397
23,0,0.0133029018585,0,0,0,0,0.0133029018585
Average,0,0.0128032116722,0.0271903323263,0,0.0307076101469,0,0.0128117581107
