Experience,Introducing Commits,Commits,% Buggy Commits,P-value
120,8842,27890,0.317031193976,1.824825203087623529540623734940123699389e-122
240,5553,17810,0.311791128579,6.182649758673370063139553636742476634096e-67
360,4917,16359,0.300568494407,5.438181096073799697631694084075148940079e-41
480,4346,15147,0.286921502608,4.08452598826237707224963164299099724024e-20
600,4231,14644,0.288923791314,1.049914732735963015593698734570362053567e-21
720,3595,12969,0.277199475673,1.402111367873758915742813746276611419294e-9
840,3956,14279,0.2770502136,2.892612721435840592237844293055233369785e-10
960,3759,14610,0.257289527721,0.2002575837366948468304774935394797970788
1080,3606,13864,0.260098095788,0.05761142694964607038393035214077274014022
1200,3187,13429,0.237322213121,3.066737146239376375515928117971228075811e-6
1320,2706,12196,0.221876024926,4.550957444923026604222640078210014851414e-17
1440,2457,12068,0.203596287703,2.321326223891971341684655715146677053927e-39
1560,1946,10406,0.187007495676,8.500131636695844486162440423373059969247e-60
1680,1411,8514,0.16572703782,5.232172018048044483663842054032365249637e-86
1800,1036,7641,0.135584347598,5.543249916574764803558255293791265449056e-143
1920,587,5481,0.107097245028,1.297740896314306877779240064287847975868e-164
2040,261,4497,0.0580386924616,1.902484321879506291375890639583331560463e-264
2160,0,28,0.0,2.709961576846133285100465291333791263866e-4
Overall,56396,221832,0.254228425115
