Hour,Introducing Commits,Commits,% Buggy Commits,P-value
0,426,1733,0.245816503174,0.217637439868817232554586225291707466404
1,246,885,0.277966101695,0.003059838981242675313054418927433838923855
2,124,416,0.298076923077,0.002724802722237058348700557664884544698254
3,79,266,0.296992481203,0.01530019063042430451709169611387309946228
4,52,173,0.300578034682,0.03403334138902619191057143997850459852793
5,26,139,0.187050359712,0.0944432330826316233658772018932758167139
6,49,215,0.227906976744,0.4053402424547627772371731066091292295462
7,80,347,0.230547550432,0.4075353771192018695642342531876007374184
8,106,514,0.206225680934,0.05114054764368582305114761860241121748966
9,132,767,0.172099087353,6.395692544590627315753327988048350376662e-6
10,234,1152,0.203125,0.002941603898928975245424408747273237716681
11,313,1527,0.20497707924,0.001320159219337093646296030082683959609596
12,379,1854,0.204422869471,3.647110843110750061812100656360793360316e-4
13,447,1958,0.228294177732,0.1742552767939471441262985709160800135167
14,467,1888,0.247351694915,0.1655851296949047580624685583936190521852
15,495,2047,0.2418172936,0.3339290311205750621811752039110105440331
16,549,2000,0.2745,7.374428385008459196439476734511725081163e-5
17,460,2090,0.22009569378,0.03123688968586974537927030917740289079805
18,501,1879,0.266631186801,0.001872848737489338209928713800928614120095
19,476,1772,0.268623024831,0.001325170339872557286781062742496845081818
20,462,1722,0.268292682927,0.001689725250353581146117446377024814669013
21,408,1750,0.233142857143,0.343436260348377779752589091195906425958
22,429,2014,0.213008937438,0.004786283386227992813485949724775147053048
23,448,1990,0.225125628141,0.100054220965863393489077208179498101444
Overall,7388,31098,0.23757154801
