,< 2 years experience,,,,>= 2 years experience
Hour,Introducing Commits,Commits,% Buggy Commits,P-value,Introducing Commits,Commits,% Buggy Commits,P-value
0,203,600,0.338333333333,1.596009433832670218736018271255470150497e-8,223,1133,0.338333333333,5.781974421340721245497599715045813847124e-4
1,121,358,0.337988826816,1.125458766862021000258847150952161676481e-5,125,527,0.337988826816,0.5158071266652624286663995105957096146065
2,79,221,0.357466063348,4.162199572058911220632091662910496969315e-5,45,195,0.357466063348,0.4504636961238715921538294933436063826616
3,58,177,0.327683615819,0.004077083240169644816092239079456635793291,21,89,0.327683615819,0.5439303255015632643844279843550075779497
4,43,124,0.346774193548,0.003976970484648282096537852754187996932613,9,49,0.346774193548,0.2408499340201095867982684506707711949247
5,19,90,0.211111111111,0.3269314145586394549084890395573392328987,7,49,0.211111111111,0.07701741666175283255837574274582397811527
6,38,124,0.306451612903,0.0477519888646304868207666761303541672469,11,91,0.306451612903,0.00409868904900274954455359932268693974282
7,57,216,0.263888888889,0.2023405828640802816373017648615019812065,23,131,0.263888888889,0.05532298973363207682246452458531308865016
8,55,206,0.266990291262,0.1806557763980723836464621534677070055836,51,308,0.266990291262,0.001328154955942966447954181896320055914602
9,51,232,0.219827586207,0.2917062768567522785128661969483728026531,81,535,0.219827586207,5.969292846983072914333573086649973777401e-7
10,81,293,0.276450511945,0.06921902719194126849410836683578406292438,153,859,0.276450511945,1.463822500271633378685931766553643554642e-5
11,92,301,0.305647840532,0.004117261552412723597230618585697001707845,221,1226,0.305647840532,7.110169851360894630014638002900017200484e-7
12,89,334,0.266467065868,0.120463884866543889430333796194404216046,290,1520,0.266467065868,6.625458738952023990658483863798079153108e-6
13,100,373,0.268096514745,0.09391263746933554861364894849564940474036,347,1585,0.268096514745,0.04226004582962180923403347769329060568752
14,117,384,0.3046875,0.001560429453536240951427828135934556474585,350,1504,0.3046875,0.3416272660361642545346759540160519582748
15,140,427,0.327868852459,1.457108466654288352275396610495821740046e-5,355,1620,0.327868852459,0.042292224561997813992252020495397974881
16,124,368,0.336956521739,1.043632105478743658207278424350980798704e-5,425,1632,0.336956521739,0.01691348019577581085585269708471060699711
17,125,438,0.285388127854,0.01199042634400008016800896237768081059284,335,1652,0.285388127854,4.080893846666177196985611283094222942891e-4
18,121,404,0.299504950495,0.002542213161804298838376882122067951847787,380,1475,0.299504950495,0.03851526095862521076154595536190665371568
19,168,498,0.33734939759,3.117812938599063460509761264798650414627e-7,308,1274,0.33734939759,0.3732113031778384081762628846851827736722
20,154,510,0.301960784314,5.146963934246454722633745298543981784888e-4,308,1212,0.301960784314,0.09405499501652883943748173100242706147836
21,151,543,0.278084714549,0.0162606477744864599759839945174703014323,257,1207,0.278084714549,0.02294273908426309149901137510767279280753
22,173,645,0.268217054264,0.03869094648365608165880145128708908041857,256,1369,0.268217054264,3.77095866218456371265657661800797617069e-6
23,187,610,0.306557377049,5.908101691221215916670835357592118956753e-5,261,1380,0.306557377049,8.561324098280965795761207613286645366133e-6
Category Overall,2546,8476,0.300377536574,,4842,22622,0.214039430643
Overall,7388,31098,0.23757154801
