Experience,Introducing Commits,Commits,% Buggy Commits,P-value
120,303,1148,0.26393728223,4.031675613695536188168104709679828907311e-7
240,179,704,0.254261363636,5.812738691040303036929747848721879405717e-4
360,179,756,0.236772486772,0.01300028686462467112448595031303925842208
480,185,868,0.213133640553,0.2416732821221354475928983203454067138752
600,134,860,0.155813953488,2.315879783128392619868176908078501897104e-4
720,122,613,0.199021207178,0.4254809721744846257314949049640863084952
840,134,492,0.272357723577,1.36155578753936889781685068474706613868e-4
960,202,888,0.227477477477,0.03991189544903429845814853328862650462467
1080,114,651,0.175115207373,0.04063197573163950160799244850105840943678
1200,73,347,0.210374639769,0.3878929863509338259113865815679358565948
1320,131,625,0.2096,0.3571271094453112884196197715197628672134
1440,75,533,0.140712945591,1.225621965125060990817429664019910373188e-4
1560,93,529,0.175803402647,0.06447844704821333431214350691353783797342
1680,41,275,0.149090909091,0.01349801494251106711469052345584817914108
1800,51,273,0.186813186813,0.2804021095136753229689179266863929272145
1920,31,160,0.19375,0.4305167536254681638616188514201590470733
2040,11,146,0.0753424657534,1.87893612676309247472213654495015638954e-5
2160,18,102,0.176470588235,0.2993111825514836915934037139625688619703
2280,6,103,0.0582524271845,3.569596536457856715128668795465646823588e-5
2400,21,131,0.160305343511,0.1327260760981487130617158030650484971415
2520,31,167,0.185628742515,0.327065571891219459343074137429265213272
2640,12,70,0.171428571429,0.3133896997387506321989316942634212744382
2760,4,32,0.125,0.1927679070088477060813196655307371750538
2880,20,33,0.606060606061,5.030784337935269744024606231852751658952e-7
3000,4,12,0.333333333333,0.2135858349350710737996558532674931380255
3120,5,12,0.416666666667,0.07667189456865814882625854866727594093374
3240,5,22,0.227272727273,0.4715362771084065708796749466564010504554
3360,0,3,0.0,0.5061745188887449752152252636929365626331
3480,1,27,0.037037037037,0.01718591090137171039063724432329611948269
3600,4,26,0.153846153846,0.368698021969742268633196553989362176395
3720,9,101,0.0891089108911,0.001627894067668715951169364858290238067671
3840,0,17,0.0,0.02110416852418750475109971778432012651996
3960,2,76,0.0263157894737,6.629139212482831191952236113912197900455e-6
4080,0,29,0.0,0.001385381427556048998072862473082648712392
4200,0,4,0.0,0.4033979668301165829484758424264923147829
4320,0,0,0.0,0.0
Overall,2200,10835,0.203045685279
