Hour,Introducing Commits,Commits,% Buggy Commits,P-value
0,67,282,0.237588652482,0.08746003006296534342047909126018016691787
1,56,218,0.256880733945,0.03186056988013064588998275951917416311203
2,43,183,0.234972677596,0.1628301662552073499415306811360715999825
3,27,117,0.230769230769,0.2597541373700982290276144889817573312202
4,18,77,0.233766233766,0.2917139611082498949636928878964515952731
5,19,103,0.184466019417,0.3728328309918133941844119601143233812282
6,11,45,0.244444444444,0.297381624966709653108191338336701027433
7,10,65,0.153846153846,0.2054299892171535422777561161138862016827
8,24,191,0.125654450262,0.003545747587737169648038517441577600189345
9,77,426,0.180751173709,0.1387175206389279107824390469027684873303
10,104,574,0.18118466899,0.1044834561106690308083076534436618201376
11,135,693,0.194805194805,0.3138746992313873954588183906072565635512
12,114,638,0.17868338558,0.06771256573634871743808297121167174857489
13,137,738,0.185636856369,0.1286780960694405773797097131437111487902
14,179,851,0.210340775558,0.3110699831281509252470617995002476296238
15,201,972,0.206790123457,0.3983159378344526601184455483817840656903
16,203,922,0.220173535792,0.1060829833635409043006778432362111972069
17,159,783,0.2030651341,0.5136704678365094219345490738913460907795
18,128,675,0.18962962963,0.2073839715724921441959850010773134669733
19,111,543,0.204419889503,0.4853129387124496945598198008511687282854
20,108,518,0.208494208494,0.3959961502302479202355878505118743157027
21,91,461,0.197396963124,0.4079809821269237083039720276539061466888
22,89,395,0.225316455696,0.1498414354957676113930434726613031913803
23,89,365,0.243835616438,0.03265859748784613249966536123393063548858
Overall,2200,10835,0.203045685279
