,< 2 years experience,,,,>= 2 years experience
Hour,Introducing Commits,Commits,% Buggy Commits,P-value,Introducing Commits,Commits,% Buggy Commits,P-value
0,31,147,0.210884353741,0.4389462964030641869402722951726432328593,36,135,0.210884353741,0.04507702400161089011236027576498381441226
1,29,111,0.261261261261,0.08264926972729797438239157190924319377296,27,107,0.261261261261,0.1268410501482339580632374685884919880874
2,22,88,0.25,0.1672124051402709594297861445429452241061,21,95,0.25,0.3701711122859309168546880475043052587255
3,15,65,0.230769230769,0.334792752792259307929944012379912753197,12,52,0.230769230769,0.3613639323178711874982142671935555512134
4,12,51,0.235294117647,0.3346765182305724621017145833867822393272,6,26,0.235294117647,0.4380318892373121135266614802496144323817
5,15,82,0.182926829268,0.3857424944366878333888131798250439341384,4,21,0.182926829268,0.5720551639999041711950001114851392182587
6,2,17,0.117647058824,0.2988171833525966939665328086600482447408,9,28,0.117647058824,0.09719274211858743524833687570303717914147
7,8,33,0.242424242424,0.3507629452927576882729003341264011288283,2,32,0.242424242424,0.02899569915627161678470697548166177909745
8,12,84,0.142857142857,0.1050421468317705044409595698564716688961,12,107,0.142857142857,0.009695438920625830236997054693421504370516
9,35,185,0.189189189189,0.3589335252547273100483231544791939543827,42,241,0.189189189189,0.1511043797700741443791636575464914431659
10,46,239,0.192468619247,0.3776527054161245693552156602267123678856,58,335,0.192468619247,0.09627009570818161106315064848425318081076
11,68,297,0.228956228956,0.1498221745893733237763382742179830392772,67,396,0.228956228956,0.05111866416395373039392013622905493268068
12,54,262,0.206106870229,0.4754523819168334270745051163487227272052,60,376,0.206106870229,0.01894332315203600195879550223522607828295
13,56,299,0.1872909699,0.2755305392771377440828362816821432670596,81,439,0.1872909699,0.1829724480387571988856364447936475607092
14,75,335,0.223880597015,0.1885593266344918725961907820642197105107,104,516,0.223880597015,0.4924708605473603560705373112388672111922
15,91,396,0.229797979798,0.1048575646031213699199314671373698543483,110,576,0.229797979798,0.2537268696058510892751919465818941204561
16,92,405,0.227160493827,0.1268707708629834313126828912960286266629,111,517,0.227160493827,0.2706291854181121573517468350872034419569
17,99,421,0.235154394299,0.05927704897192509024087938856678592658768,60,362,0.235154394299,0.04217117038214874738701510612836083517315
18,90,359,0.25069637883,0.01636441247476958993784902774505783718164,38,316,0.25069637883,7.365781834522338693216198989689976153643e-5
19,63,270,0.233333333333,0.1236320851270589056960524364413688312174,48,273,0.233333333333,0.1481043754395842135702758604835950743148
20,59,252,0.234126984127,0.1263040094126868354132440446095108501675,49,266,0.234126984127,0.2484559601275693809214940402171922668549
21,47,220,0.213636363636,0.3738732825010624204551511227964383432024,44,241,0.213636363636,0.2413267136030027581932801002403307244653
22,45,201,0.223880597015,0.2557068185871016868565832272728663250332,44,194,0.223880597015,0.22918325387916075083997416822950765055
23,46,173,0.265895953757,0.0277624247508734216684393196336455665694,43,192,0.265895953757,0.2606837719874166039465472897514525038366
Category Overall,1112,4992,0.222756410256,,1088,5843,0.186205716242
Overall,2200,10835,0.203045685279
